0,1950,-1.53,-1.34,-1.16,-1.18,-1.07,-0.85,-0.54,-0.42,-0.39,-0.44,-0.6,-0.8
1,1951,-0.82,-0.54,-0.17,0.18,0.36,0.58,0.7,0.89,0.99,1.15,1.04,0.81
2,1952,0.53,0.37,0.34,0.29,0.2,0,-0.08,0,0.15,0.1,0.04,0.15
3,1953,0.4,0.6,0.63,0.66,0.75,0.77,0.75,0.73,0.78,0.84,0.84,0.81
4,1954,0.76,0.47,-0.05,-0.41,-0.54,-0.5,-0.64,-0.84,-0.9,-0.77,-0.73,-0.66
5,1955,-0.68,-0.62,-0.69,-0.8,-0.79,-0.72,-0.68,-0.75,-1.09,-1.42,-1.67,-1.47
6,1956,-1.11,-0.76,-0.63,-0.54,-0.52,-0.51,-0.57,-0.55,-0.46,-0.42,-0.43,-0.43
7,1957,-0.25,0.06,0.41,0.72,0.92,1.11,1.25,1.32,1.33,1.39,1.53,1.74
8,1958,1.81,1.66,1.27,0.93,0.74,0.64,0.57,0.43,0.39,0.44,0.5,0.61
9,1959,0.61,0.62,0.52,0.33,0.2,-0.07,-0.18,-0.28,-0.09,-0.03,0.05,-0.04
10,1960,-0.1,-0.1,-0.07,0.03,0.02,0.03,0.13,0.24,0.27,0.2,0.12,0.05
11,1961,0.04,0.03,0.04,0.09,0.23,0.27,0.14,-0.13,-0.3,-0.26,-0.19,-0.16
12,1962,-0.24,-0.22,-0.2,-0.26,-0.28,-0.2,-0.04,-0.07,-0.11,-0.22,-0.31,-0.43
13,1963,-0.4,-0.15,0.15,0.27,0.31,0.52,0.86,1.14,1.22,1.29,1.37,1.31
14,1964,1.07,0.62,0.12,-0.33,-0.58,-0.58,-0.6,-0.66,-0.76,-0.8,-0.82,-0.78
15,1965,-0.59,-0.28,-0.07,0.18,0.46,0.83,1.22,1.54,1.85,1.98,1.97,1.72
16,1966,1.37,1.17,0.98,0.66,0.35,0.24,0.24,0.12,-0.05,-0.1,-0.18,-0.3
17,1967,-0.41,-0.48,-0.53,-0.45,-0.24,0,0.05,-0.16,-0.3,-0.38,-0.34,-0.44
18,1968,-0.64,-0.74,-0.62,-0.44,-0.04,0.28,0.58,0.53,0.45,0.55,0.73,0.98
19,1969,1.13,1.09,0.95,0.77,0.61,0.43,0.36,0.51,0.79,0.86,0.81,0.63
20,1970,0.51,0.34,0.29,0.19,0.04,-0.3,-0.63,-0.76,-0.77,-0.74,-0.86,-1.15
21,1971,-1.36,-1.38,-1.12,-0.85,-0.73,-0.74,-0.8,-0.77,-0.82,-0.85,-0.96,-0.9
22,1972,-0.71,-0.35,0.06,0.41,0.67,0.92,1.13,1.37,1.58,1.84,2.09,2.12
23,1973,1.84,1.25,0.54,-0.1,-0.54,-0.87,-1.11,-1.28,-1.45,-1.71,-1.95,-2.03
24,1974,-1.84,-1.55,-1.23,-1.03,-0.91,-0.77,-0.53,-0.37,-0.41,-0.61,-0.75,-0.64
25,1975,-0.54,-0.57,-0.65,-0.73,-0.83,-0.98,-1.13,-1.2,-1.37,-1.43,-1.55,-1.65
26,1976,-1.56,-1.17,-0.73,-0.47,-0.28,-0.05,0.18,0.35,0.62,0.81,0.86,0.85
27,1977,0.71,0.64,0.34,0.23,0.21,0.34,0.35,0.42,0.57,0.73,0.81,0.79
28,1978,0.69,0.42,0.06,-0.18,-0.31,-0.29,-0.36,-0.42,-0.42,-0.29,-0.08,0
29,1979,0.03,0.07,0.2,0.28,0.23,0.05,0.04,0.17,0.33,0.45,0.52,0.64
30,1980,0.59,0.46,0.34,0.38,0.48,0.46,0.25,0.03,-0.07,0.02,0.11,-0.01
31,1981,-0.26,-0.5,-0.47,-0.37,-0.26,-0.29,-0.3,-0.25,-0.16,-0.13,-0.15,-0.08
32,1982,-0.05,0.07,0.19,0.47,0.66,0.72,0.79,1.07,1.58,1.97,2.18,2.23
33,1983,2.18,1.92,1.54,1.29,1.06,0.72,0.31,-0.08,-0.46,-0.81,-1,-0.91
34,1984,-0.6,-0.42,-0.34,-0.43,-0.51,-0.45,-0.3,-0.16,-0.24,-0.56,-0.92,-1.14
35,1985,-1.04,-0.85,-0.77,-0.78,-0.78,-0.63,-0.49,-0.46,-0.4,-0.35,-0.27,-0.36
36,1986,-0.49,-0.47,-0.31,-0.2,-0.12,-0.04,0.22,0.44,0.71,0.94,1.14,1.22
37,1987,1.23,1.19,1.06,0.95,0.97,1.22,1.51,1.7,1.65,1.48,1.25,1.11
38,1988,0.81,0.54,0.14,-0.31,-0.88,-1.3,-1.3,-1.11,-1.19,-1.48,-1.8,-1.85
39,1989,-1.69,-1.43,-1.08,-0.83,-0.58,-0.4,-0.31,-0.27,-0.24,-0.22,-0.16,-0.05
40,1990,0.14,0.21,0.28,0.29,0.29,0.31,0.33,0.38,0.39,0.35,0.4,0.41
41,1991,0.41,0.26,0.22,0.26,0.45,0.64,0.73,0.64,0.62,0.79,1.21,1.53
42,1992,1.71,1.63,1.48,1.29,1.06,0.73,0.37,0.09,-0.13,-0.25,-0.28,-0.13
43,1993,0.09,0.3,0.5,0.67,0.7,0.57,0.32,0.25,0.15,0.1,0.04,0.06
44,1994,0.06,0.07,0.17,0.31,0.42,0.41,0.44,0.43,0.55,0.74,1.01,1.09
45,1995,0.96,0.72,0.53,0.3,0.14,-0.03,-0.24,-0.54,-0.81,-0.97,-1,-0.98
46,1996,-0.9,-0.75,-0.59,-0.39,-0.31,-0.3,-0.27,-0.32,-0.35,-0.4,-0.45,-0.49
47,1997,-0.5,-0.36,-0.1,0.28,0.75,1.22,1.6,1.9,2.14,2.33,2.4,2.39
48,1998,2.24,1.93,1.44,0.99,0.45,-0.13,-0.78,-1.12,-1.31,-1.35,-1.48,-1.57
49,1999,-1.55,-1.3,-1.07,-0.98,-1.02,-1.04,-1.1,-1.11,-1.16,-1.26,-1.46,-1.65
50,2000,-1.66,-1.41,-1.07,-0.81,-0.71,-0.64,-0.55,-0.51,-0.55,-0.63,-0.75,-0.74
51,2001,-0.68,-0.52,-0.44,-0.34,-0.25,-0.12,-0.08,-0.13,-0.19,-0.29,-0.35,-0.31
52,2002,-0.15,0.03,0.09,0.2,0.43,0.65,0.79,0.86,1.01,1.21,1.31,1.14
53,2003,0.92,0.63,0.38,-0.04,-0.26,-0.16,0.08,0.21,0.26,0.29,0.35,0.35
54,2004,0.37,0.31,0.23,0.17,0.17,0.28,0.47,0.64,0.7,0.67,0.66,0.69
55,2005,0.64,0.58,0.45,0.43,0.29,0.11,-0.06,-0.14,-0.11,-0.29,-0.57,-0.84
56,2006,-0.85,-0.77,-0.57,-0.37,-0.14,-0.03,0.1,0.3,0.54,0.77,0.94,0.94
57,2007,0.66,0.22,-0.12,-0.32,-0.38,-0.47,-0.56,-0.81,-1.07,-1.34,-1.5,-1.6
58,2008,-1.64,-1.52,-1.29,-1.01,-0.84,-0.61,-0.37,-0.23,-0.24,-0.35,-0.55,-0.73
59,2009,-0.85,-0.79,-0.61,-0.33,0.01,0.28,0.45,0.58,0.71,1.01,1.36,1.56
60,2010,1.5,1.22,0.84,0.35,-0.17,-0.66,-1.05,-1.35,-1.56,-1.64,-1.64,-1.59
61,2011,-1.42,-1.19,-0.93,-0.73,-0.55,-0.44,-0.48,-0.62,-0.83,-1.01,-1.09,-1.04
62,2012,-0.86,-0.72,-0.59,-0.47,-0.26,-0.01,0.25,0.37,0.37,0.27,0.05,-0.21
63,2013,-0.43,-0.43,-0.34,-0.3,-0.36,-0.41,-0.4,-0.32,-0.26,-0.18,-0.17,-0.27
64,2014,-0.42,-0.46,-0.27,0.04,0.21,0.16,0.05,0.07,0.23,0.49,0.64,0.66
65,2015,0.55,0.47,0.53,0.7,0.93,1.18,1.52,1.86,2.16,2.42,2.57,2.64
66,2016,2.48,2.14,1.58,0.94,0.39,-0.07,-0.36,-0.54,-0.63,-0.69,-0.67,-0.56
67,2017,-0.34,-0.16,0.05,0.2,0.3,0.31,0.14,-0.11,-0.38,-0.65,-0.84,-0.97
68,2018,-0.92,-0.85,-0.7,-0.5,-0.22,-0.01,0.09,0.23,0.49,0.76,0.9,0.81
69,2019,0.75,0.72,0.71,0.66,0.54,0.45,0.28,0.14,0.19,0.35,0.51,0.55
70,2020,0.5,0.48,0.4,0.19,-0.08,-0.3,-0.41,-0.57,-0.89,-1.17,-1.27,-1.19
71,2021,-1.05,-0.93,-0.84,-0.66,-0.48,-0.38,-0.4,-0.49,-0.67,-0.81,-0.98,-0.99
72,2022,-0.97,-0.94,-1,-1.08,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
